"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 07 15:09:12 GMT 2025","Tue Oct 07 15:09:14 GMT 2025","1755","LMS System","Dashboard","Dashboard","","","Check displaying or dashboard page",""
"passed","Tue Oct 07 15:09:02 GMT 2025","Tue Oct 07 15:09:04 GMT 2025","1529","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 15:09:00 GMT 2025","Tue Oct 07 15:09:02 GMT 2025","1913","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 15:09:08 GMT 2025","Tue Oct 07 15:09:12 GMT 2025","3411","LMS System","Courses","Courses","","","Create course",""
"passed","Tue Oct 07 15:08:58 GMT 2025","Tue Oct 07 15:09:02 GMT 2025","4068","LMS System","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Oct 07 15:08:58 GMT 2025","Tue Oct 07 15:09:00 GMT 2025","2072","LMS System","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Oct 07 15:09:04 GMT 2025","Tue Oct 07 15:09:06 GMT 2025","1974","LMS System","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Oct 07 15:09:08 GMT 2025","Tue Oct 07 15:09:12 GMT 2025","3622","LMS System","Courses","Courses","","","Edit course",""
"passed","Tue Oct 07 15:09:06 GMT 2025","Tue Oct 07 15:09:08 GMT 2025","1582","LMS System","Courses","Courses","","","Check displaying or empty courses list",""
"passed","Tue Oct 07 15:09:03 GMT 2025","Tue Oct 07 15:09:04 GMT 2025","1565","LMS System","Authentication","Authorization","","","Navigation from login page to registration page",""
